Libellé;Lien;État
2.4.2 Titre de page;https://www.w3.org/Translations/WCAG20-fr/#navigation-mechanisms;OK
2.4.2 Page Titled;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#navigation-mechanisms;OK
2.4.6 En-têtes et étiquettes;https://www.w3.org/Translations/WCAG20-fr/#navigation-mechanisms;OK
2.4.6 Headings and Labels;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#navigation-mechanisms;OK
ISO 639-1;https://www.loc.gov/standards/iso639-2/php/code_list.php;OK
ISO_3166-1;https://fr.wikipedia.org/wiki/ISO_3166-1;OK
ISO_3166-1;https://fr.wikipedia.org/wiki/ISO_3166-1;OK
[eltBlock];https://developer.mozilla.org/en-US/docs/Glossary/Block-level_content;OK
RFC 3066;https://www.ietf.org/rfc/rfc3066.txt;OK
ISO 639-1;https://www.loc.gov/standards/iso639-2/php/code_list.php;OK
ISO_3166-1;https://fr.wikipedia.org/wiki/ISO_3166-1;OK
3.1.1 Langue de la page;https://www.w3.org/Translations/WCAG20-fr/#meaning;OK
3.1.1 Language of Page;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#meaning;OK
3.1.2 Langue d’un passage;https://www.w3.org/Translations/WCAG20-fr/#meaning;OK
3.1.2 Language of Parts;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#meaning;OK
EPUB;https://idpf.org/epub/profiles/edu/structure//;OK
web;https://www.w3.org/TR/wai-aria-1.1/#role_definitions;OK
DPUB;https://www.w3.org/TR/dpub-WAI-ARIA-1.0/#roles;OK
table de correspondance;https://idpf.github.io/epub-guides/epub-aria-authoring//;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
2.1 ARIA Roles;https://www.w3.org/TR/wai-aria-1.1/#usage_intro;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
